batter,total_runs,balls_faced,boundaries,strike_rate
J Suchith,70.0,61,9,114.75409836065573
AA Bilakhia,69.0,84,5,82.14285714285714
Vivrant Sharma,69.0,47,11,146.80851063829786
JJ Bumrah,68.0,78,6,87.17948717948718
Urvil Patel,68.0,32,11,212.5
JG Bethell,67.0,39,12,171.7948717948718
RR Powar,67.0,64,7,104.6875
HR Shokeen,66.0,65,9,101.53846153846153
R Sharma,66.0,75,8,88.0
WD Parnell,65.0,80,5,81.25
KA Jamieson,65.0,60,8,108.33333333333333
GD Phillips,65.0,54,9,120.37037037037037
Mohammad Hafeez,64.0,83,9,77.10843373493977
Anirudh Singh,63.0,66,7,95.45454545454545
A Flintoff,62.0,53,7,116.98113207547169
Avesh Khan,62.0,37,10,167.56756756756758
SP Jackson,61.0,57,6,107.01754385964912
Sandeep Sharma,60.0,74,4,81.08108108108108
Harshit Rana,59.0,55,8,107.27272727272728
S Aravind,59.0,57,7,103.50877192982458
MG Bracewell,58.0,47,7,123.40425531914893
I Sharma,57.0,69,6,82.6086956521739
WA Mota,56.0,75,2,74.66666666666667
Vishnu Vinod,56.0,56,6,100.0
M Rawat,55.0,69,5,79.71014492753623
DJ Willey,53.0,62,7,85.48387096774194
PVD Chameera,53.0,42,6,126.19047619047619
A Chopra,53.0,71,7,74.64788732394366
Shoaib Malik,52.0,46,5,113.04347826086956
RP Singh,52.0,76,3,68.42105263157895
Shivam Mavi,51.0,56,6,91.07142857142857
Swapnil Singh,51.0,45,6,113.33333333333333
R Rampaul,51.0,49,5,104.08163265306123
KB Arun Karthik,51.0,51,5,100.0
OF Smith,51.0,44,6,115.90909090909092
VR Aaron,50.0,71,4,70.4225352112676
RV Gomez,50.0,51,6,98.0392156862745
SB Bangar,49.0,58,4,84.48275862068965
AG Paunikar,49.0,55,9,89.0909090909091
A Nortje,49.0,49,6,100.0
AS Yadav,49.0,39,7,125.64102564102564
T Kohler-Cadmore,48.0,54,8,88.88888888888889
M Markande,48.0,42,6,114.28571428571428
Yashpal Singh,47.0,65,5,72.3076923076923
C Bosch,47.0,32,6,146.875
Ravi Bishnoi,45.0,66,4,68.18181818181817
D Pretorius,44.0,28,6,157.14285714285714
DR Sams,44.0,44,4,100.0
Sunny Singh,43.0,31,7,138.70967741935485
SK Trivedi,42.0,58,4,72.41379310344827
AB Barath,42.0,42,6,100.0
A Nehra,41.0,60,4,68.33333333333333
BR Dunk,40.0,35,7,114.28571428571428
Rasikh Salam,40.0,40,5,100.0
J Yadav,40.0,36,3,111.11111111111111
LPC Silva,40.0,26,6,153.84615384615387
S Nadeem,39.0,87,2,44.827586206896555
DJ Thornely,39.0,53,4,73.58490566037736
AUK Pathan,39.0,23,7,169.56521739130434
MM Patel,39.0,41,5,95.1219512195122
Umar Gul,39.0,19,6,205.26315789473685
S Narwal,37.0,27,6,137.03703703703704
YS Chahal,37.0,86,0,43.02325581395349
Anureet Singh,36.0,47,3,76.59574468085107
Sohail Tanvir,36.0,28,4,128.57142857142858
L Balaji,36.0,49,3,73.46938775510205
AN Ahmed,36.0,26,5,138.46153846153845
Joginder Sharma,36.0,30,3,120.0
KW Richardson,36.0,39,3,92.3076923076923
B Sumanth,35.0,37,3,94.5945945945946
M Ashwin,35.0,50,3,70.0
A Kumble,35.0,47,3,74.46808510638297
AP Dole,34.0,22,4,154.54545454545453
S Sreesanth,34.0,55,6,61.81818181818181
A Mithun,34.0,26,5,130.76923076923077
L Ronchi,34.0,34,7,100.0
Navdeep Saini,33.0,37,3,89.1891891891892
D Salunkhe,33.0,24,5,137.5
Imran Tahir,33.0,37,5,89.1891891891892
AT Carey,32.0,29,1,110.34482758620689
RJ Peterson,32.0,30,4,106.66666666666667
Basil Thampi,32.0,35,2,91.42857142857143
S Sriram,31.0,36,3,86.11111111111111
T Taibu,31.0,26,3,119.23076923076923
NS Naik,31.0,50,2,62.0
G Coetzee,31.0,32,4,96.875
Arshdeep Singh,31.0,46,4,67.3913043478261
VH Zol,29.0,26,4,111.53846153846155
J Syed Mohammad,29.0,26,4,111.53846153846155
SB Jakati,28.0,29,3,96.55172413793103
TU Deshpande,28.0,22,3,127.27272727272727
AS Joseph,27.0,32,3,84.375
AS Roy,26.0,25,3,104.0
MD Shanaka,26.0,26,3,100.0
AS Rajpoot,26.0,41,3,63.41463414634146
PJ Sangwan,26.0,44,1,59.09090909090909
JM Kemp,26.0,24,2,108.33333333333333
NL McCullum,26.0,22,1,118.18181818181819
DJ Malan,26.0,26,2,100.0
AB Dinda,26.0,48,2,54.166666666666664
TL Seifert,26.0,23,4,113.04347826086956
CV Varun,26.0,47,2,55.319148936170215
Akash Deep,25.0,14,4,178.57142857142858
S Chanderpaul,25.0,31,4,80.64516129032258
Mohsin Khan,25.0,24,3,104.16666666666667
A Choudhary,25.0,20,2,125.0
Sanvir Singh,25.0,21,3,119.04761904761905
MA Khote,24.0,22,3,109.09090909090908
Tanush Kotian,24.0,31,3,77.41935483870968
AJ Turner,24.0,28,2,85.71428571428571
ER Dwivedi,24.0,14,4,171.42857142857142
KC Cariappa,24.0,21,2,114.28571428571428
SW Tait,23.0,26,2,88.46153846153845
AF Milne,23.0,29,1,79.3103448275862
J Arunkumar,23.0,23,5,100.0
P Dubey,23.0,33,2,69.6969696969697
BMAJ Mendis,23.0,27,0,85.18518518518519
Umran Malik,23.0,15,3,153.33333333333334
Yudhvir Singh,22.0,16,3,137.5
Sediqullah Atal,22.0,16,2,137.5
SA Abbott,22.0,18,3,122.22222222222223
KL Nagarkoti,22.0,33,1,66.66666666666666
HE van der Dussen,22.0,24,2,91.66666666666666
GB Hogg,22.0,22,1,100.0
AU Rashid,22.0,15,3,146.66666666666666
B Indrajith,21.0,30,2,70.0
DE Bollinger,21.0,22,2,95.45454545454545
RR Raje,20.0,18,2,111.11111111111111
C Sakariya,20.0,30,3,66.66666666666666
Noor Ahmad,20.0,35,2,57.14285714285714
M Muralitharan,20.0,29,1,68.96551724137932
NJ Maddinson,20.0,21,4,95.23809523809523
BKG Mendis,20.0,10,3,200.0
AC Thomas,20.0,19,2,105.26315789473684
S Kaul,20.0,36,1,55.55555555555556
RA Bawa,19.0,18,1,105.55555555555556
R Shukla,19.0,23,2,82.6086956521739
JR Hazlewood,19.0,29,1,65.51724137931035
Gulbadin Naib,19.0,15,2,126.66666666666666
P Ray Barman,19.0,24,2,79.16666666666666
NT Ellis,19.0,25,1,76.0
P Sahu,19.0,13,2,146.15384615384613
DR Martyn,19.0,24,1,79.16666666666666
A Mukund,19.0,22,1,86.36363636363636
R Bishnoi,19.0,17,3,111.76470588235294
Y Gnaneswara Rao,19.0,17,3,111.76470588235294
T Banton,18.0,20,2,90.0
Harmeet Singh,18.0,12,3,150.0
BJ Haddin,18.0,11,3,163.63636363636365
JJ van der Wath,18.0,16,2,112.5
R Sai Kishore,18.0,16,2,112.5
Saurav Chauhan,18.0,15,2,120.0
Sumit Kumar,18.0,24,3,75.0
DS Lehmann,18.0,18,3,100.0
PV Tambe,18.0,38,1,47.368421052631575
Naveen-ul-Haq,18.0,24,2,75.0
KMA Paul,18.0,24,2,75.0
M Theekshana,17.0,34,1,50.0
JA Richardson,17.0,26,2,65.38461538461539
Parvez Rasool,17.0,20,1,85.0
A Kamboj,16.0,14,2,114.28571428571428
AJ Hosein,16.0,10,2,160.0
KS Sharma,16.0,25,1,64.0
CK Kapugedera,16.0,22,0,72.72727272727273
YV Dhull,16.0,23,1,69.56521739130434
PP Ojha,16.0,44,0,36.36363636363637
A Zampa,15.0,24,1,62.5
SD Lad,15.0,13,2,115.38461538461537
C Madan,15.0,18,3,83.33333333333334
JL Pattinson,15.0,13,2,115.38461538461537
GR Napier,15.0,16,1,93.75
I Udana,15.0,11,2,136.36363636363635
J Overton,15.0,7,2,214.28571428571428
Virat Singh,15.0,26,1,57.692307692307686
VY Mahesh,15.0,27,0,55.55555555555556
Vijaykumar Vyshak,14.0,12,1,116.66666666666667
MP Breetzke,14.0,12,2,116.66666666666667
FA Allen,14.0,18,1,77.77777777777779
F Behardien,14.0,13,2,107.6923076923077
MDKJ Perera,14.0,13,3,107.6923076923077
DR Shorey,13.0,17,1,76.47058823529412
DT Patil,13.0,13,1,100.0
Kartik Tyagi,13.0,16,1,81.25
S Badree,13.0,23,0,56.52173913043478
Arjun Tendulkar,13.0,9,1,144.44444444444443
KJ Abbott,13.0,8,1,162.5
Mustafizur Rahman,13.0,24,1,54.166666666666664
K Upadhyay,12.0,9,1,133.33333333333331
K Kartikeya,12.0,17,1,70.58823529411765
DG Nalkande,12.0,12,1,100.0
DAJ Bracewell,12.0,9,1,133.33333333333331
T Thushara,12.0,18,0,66.66666666666666
AR Bawne,12.0,12,1,100.0
Karanveer Singh,12.0,17,1,70.58823529411765
MA Wood,12.0,8,2,150.0
Mujeeb Ur Rahman,12.0,15,2,80.0
AA Chavan,12.0,11,2,109.09090909090908
DNT Zoysa,11.0,9,1,122.22222222222223
T Henderson,11.0,15,1,73.33333333333333
T Kohli,11.0,19,1,57.89473684210527
M Ntini,11.0,18,2,61.111111111111114
XC Bartlett,11.0,15,1,73.33333333333333
BB Sran,10.0,13,0,76.92307692307693
JE Root,10.0,15,1,66.66666666666666
RK Bhui,10.0,26,0,38.46153846153847
KAJ Roach,10.0,9,1,111.11111111111111
TD Paine,10.0,26,0,38.46153846153847
SMSM Senanayake,10.0,16,0,62.5
Simarjeet Singh,10.0,15,0,66.66666666666666
Mukesh Kumar,10.0,18,0,55.55555555555556
D du Preez,10.0,13,0,76.92307692307693
J Theron,10.0,12,1,83.33333333333334
X Thalaivan Sargunam,10.0,17,0,58.82352941176471
AG Murtaza,10.0,14,1,71.42857142857143
L Wood,9.0,3,1,300.0
SM Harwood,9.0,13,0,69.23076923076923
D Ferreira,9.0,14,0,64.28571428571429
AA Noffke,9.0,10,1,90.0
VG Arora,9.0,24,0,37.5
AA Kulkarni,9.0,8,2,112.5
M Prasidh Krishna,9.0,24,0,37.5
PWA Mulder,9.0,11,1,81.81818181818183
Akash Madhwal,8.0,14,0,57.14285714285714
OC McCoy,8.0,5,1,160.0
P Chopra,8.0,6,2,133.33333333333331
CK Langeveldt,8.0,9,1,88.88888888888889
KT Maphaka,8.0,2,2,400.0
CJ McKay,8.0,15,0,53.333333333333336
SH Johnson,8.0,11,1,72.72727272727273
TS Mills,8.0,14,1,57.14285714285714
TM Srivastava,8.0,11,0,72.72727272727273
JPR Scantlebury-Searles,8.0,6,1,133.33333333333331
Jaskaran Singh,8.0,11,0,72.72727272727273
AN Ghosh,7.0,8,1,87.5
UA Birla,7.0,14,1,50.0
I Malhotra,7.0,4,1,175.0
VS Malik,7.0,7,1,100.0
Ankit Soni,7.0,9,1,77.77777777777779
V Viyaskanth,7.0,5,0,140.0
Pankaj Singh,7.0,12,0,58.333333333333336
IS Sodhi,7.0,17,0,41.17647058823529
Suryansh Shedge,7.0,11,0,63.63636363636363
PSP Handscomb,6.0,12,0,50.0
JP Behrendorff,6.0,9,0,66.66666666666666
DM Bravo,6.0,5,1,120.0
SB Joshi,6.0,14,0,42.857142857142854
SS Shaikh,6.0,7,1,85.71428571428571
BA Bhatt,6.0,7,1,85.71428571428571
Mukesh Choudhary,6.0,6,1,100.0
R Minz,6.0,15,0,40.0
Fazalhaq Farooqi,5.0,15,0,33.33333333333333
SJ Srivastava,5.0,5,0,100.0
Arshad Khan (2),5.0,4,1,125.0
Shivam Sharma,5.0,3,1,166.66666666666669
KMDN Kulasekara,5.0,3,1,166.66666666666669
P Awana,5.0,14,0,35.714285714285715
Prince Yadav,5.0,10,0,50.0
B Stanlake,5.0,2,1,250.0
B Laughlin,5.0,13,0,38.46153846153847
A Tomar,4.0,8,1,50.0
VRV Singh,4.0,3,1,133.33333333333331
A Dananjaya,4.0,5,0,80.0
A Uniyal,4.0,7,0,57.14285714285714
CRD Fernando,4.0,3,0,133.33333333333331
Liton Das,4.0,4,1,100.0
DP Nannes,4.0,13,0,30.76923076923077
GD McGrath,4.0,5,1,80.0
RS Sodhi,4.0,2,1,200.0
FH Edwards,4.0,5,0,80.0
A Chandila,4.0,7,0,57.14285714285714
Yash Dayal,4.0,9,0,44.44444444444444
JE Taylor,3.0,3,0,100.0
RJW Topley,3.0,6,0,50.0
Kumar Kushagra,3.0,7,0,42.857142857142854
Younis Khan,3.0,7,0,42.857142857142854
T Natarajan,3.0,5,0,60.0
BAW Mendis,3.0,6,0,50.0
GC Viljoen,3.0,7,0,42.857142857142854
S Tyagi,3.0,4,0,75.0
Kamran Khan,3.0,5,0,60.0
D Kalyankrishna,3.0,8,0,37.5
M Tiwari,3.0,4,0,75.0
Mohammad Asif,3.0,6,0,50.0
R Ninan,3.0,5,0,60.0
KP Appanna,2.0,4,0,50.0
